filepath,line_no,symbol,preview
/Users/hiraku/projects/vpm-ariade/app.py,1,module,app.py – Kai Streamlit UI with JSON conv...
/Users/hiraku/projects/vpm-ariade/app.py,130,_today_log_path,Return Path for today's conversation log...
/Users/hiraku/projects/vpm-ariade/app.py,135,_append_log,Append a single message to today's JSON ...
/Users/hiraku/projects/vpm-ariade/app.py,149,_project_log_path,Return Path for today's project-specific...
/Users/hiraku/projects/vpm-ariade/app.py,157,_append_project_log,Append a single message to today's proje...
/Users/hiraku/projects/vpm-ariade/app.py,175,load_project_conversation_history,プロジェクト固有の会話履歴を読み込み
/Users/hiraku/projects/vpm-ariade/app.py,209,_extract_section,Extract only specified headings from mar...
/Users/hiraku/projects/vpm-ariade/app.py,225,render_phase_management_ui,プロジェクトフェーズ管理UIの表示
/Users/hiraku/projects/vpm-ariade/app.py,369,render_page_content,現在のページコンテンツを描画
/Users/hiraku/projects/vpm-ariade/app.py,401,render_home_page,ホームページ（メイン会話ページ）の描画
/Users/hiraku/projects/vpm-ariade/app.py,531,render_chat_interface,チャットインターフェースの描画
/Users/hiraku/projects/vpm-ariade/archive/disabled-pages/app_debug.py,1,module, Main entry point for Kai VPM v2 multipa...
/Users/hiraku/projects/vpm-ariade/archive/disabled-pages/app_debug.py,27,main,Main application entry point
/Users/hiraku/projects/vpm-ariade/archive/disabled-pages/app_multipage.py,1,module, Main entry point for Kai VPM v2 multipa...
/Users/hiraku/projects/vpm-ariade/archive/disabled-pages/app_multipage.py,18,main,Main application entry point
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/01_create_project.py,1,module, 01_create_project.py - Simple Project C...
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,1,module, 📝 New Project - RAG-Enhanced Conversati...
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,36,save_draft,Save draft charter and conversation
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,60,load_draft,Load draft data
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,72,delete_draft,Delete draft files
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,82,finalize_charter,Move draft to formal charter and convers...
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/1_📝_New_Project.py,132,parse_user_answer,Parse user answer and update charter dat...
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/2_✏️_Preview_Charter.py,1,module, ✏️ Preview Charter - Editable charter r...
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/3_DSL_Review.py,9,module,🧠 DSL Purpose Review  –  confidence < 0....
/Users/hiraku/projects/vpm-ariade/archive/disabled_pages/3_🧠_Analysis_and_WBS.py,1,module, 🧠 Analysis and WBS - AI-powered analysi...
/Users/hiraku/projects/vpm-ariade/archive/scripts/auto_review_low_confidence.py,2,module, auto_review_low_confidence.py – integra...
/Users/hiraku/projects/vpm-ariade/archive/scripts/auto_review_low_confidence.py,18,infer_purpose_heuristic,関数 ID / ファイル名からざっくり推測
/Users/hiraku/projects/vpm-ariade/archive/scripts/auto_review_low_confidence.py,37,infer_purpose_gpt,"GPT-4o で 1 行 JSON を生成 {purpose:""..."",con..."
/Users/hiraku/projects/vpm-ariade/archive/scripts/extract_inventory.py,2,module," Walks core/**/*.py, docs/**/*.md, *.jso..."
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,2,module, CLI script to generate a project charte...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,20,load_questions,Load questions from YAML file
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,27,prompt_user,Prompt user for a single question and re...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,79,set_nested_value,Set a nested dictionary value using dot ...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,92,collect_answers,Collect answers from user for all questi...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,107,generate_filename,Generate filename with current date
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,113,save_charter,Save charter data to YAML file
/Users/hiraku/projects/vpm-ariade/archive/scripts/generate_capability_patches.py,14,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kaiの能力拡張を支援するAIエンジニア...
/Users/hiraku/projects/vpm-ariade/archive/scripts/generate_kai_rules.py,24,inline, 以下は「プロジェクトKai」の定義・運用ルールに関するドキュメントです。 Ka...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gpt_generate_capability.py,9,SYSTEM_PROMPT,あなたはPython開発に精通したアシスタントです。 以下の機能IDが示す Ka...
/Users/hiraku/projects/vpm-ariade/archive/scripts/kai_autogen_one.py,15,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kai の機能拡張エンジニアです。  以...
/Users/hiraku/projects/vpm-ariade/archive/scripts/low_confidence_extractor.py,2,module, 低 confidence エントリを対象に、関数コードを抽出して JSONL ...
/Users/hiraku/projects/vpm-ariade/archive/scripts/priority_proposer.py,12,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kaiです。 以下の機能ID一覧は、現在...
/Users/hiraku/projects/vpm-ariade/archive/scripts/propose_capability_code.py,21,inline, 以下はAIエージェントKaiに未登録の関数定義です。 関数ID: {item[...
/Users/hiraku/projects/vpm-ariade/archive/scripts/purge_drafts.py,2,module, Purge stale draft files from data/draft...
/Users/hiraku/projects/vpm-ariade/archive/scripts/purge_drafts.py,14,parse_ttl,"     Parse TTL string like '24h', '7d', ..."
/Users/hiraku/projects/vpm-ariade/archive/scripts/purge_drafts.py,35,purge_drafts,     Purge draft files older than TTL   ...
/Users/hiraku/projects/vpm-ariade/archive/scripts/scan_required_capabilities_gpt.py,37,inline, 以下はプロジェクトKaiに関する定義やルール、進捗に関するドキュメントです。 ...
/Users/hiraku/projects/vpm-ariade/archive/scripts/test_core_functions.py,22,inline,"def test_capability():     print(""テスト能力実..."
/Users/hiraku/projects/vpm-ariade/archive/tests/test_conversation_analysis.py,2,module, Conversation Analysis Integration Test ...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_conversation_analysis.py,20,test_project_analysis,プロジェクト分析機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_conversation_analysis.py,59,test_conversation_extraction,会話情報抽出のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_conversation_analysis.py,114,test_end_to_end_workflow,エンドツーエンドワークフローのテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_conversation_analysis.py,192,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,2,module, Dynamic Schema Test Script 動的スキーマの基本機能テ...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,17,test_schema_loading,既存プロジェクトからのスキーマ読み込みテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,38,test_pending_questions,質問取得機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,51,test_field_update,フィールド更新機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,72,test_completion_percentage,完成度計算のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,87,test_priority_adjustment,優先度調整機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,101,test_save_and_reload,保存・再読み込み機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_dynamic_schema.py,123,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tests/test_phase3_integration.py,2,module, Phase 3 Integration Test 質問生成・タイミング制御の統...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_phase3_integration.py,25,test_integration_workflow,統合ワークフローのテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_phase3_integration.py,109,test_app_integration,アプリ統合テスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_phase3_integration.py,137,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,2,module, Test Dynamic Schema Integration with Pr...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,18,test_prompt_with_dynamic_info,動的情報を含むプロンプト生成テスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,50,test_additional_field_update,追加フィールド更新後のプロンプトテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,96,test_completion_tracking,完成度追跡のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,130,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,2,module, Question Generation Integration Test 質問...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,25,test_question_generation,質問生成機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,97,test_timing_conditions,タイミング制御のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,176,test_question_enhancement,質問改善機能のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,226,test_end_to_end_flow,エンドツーエンドフローのテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_question_generation.py,301,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,2,module, UI/UX改善テスト Phase 4.2の視覚化機能をテスト 
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,21,test_project_visualization,プロジェクト視覚化のテスト
