filepath,line_no,symbol,preview
/Users/hiraku/projects/vpm-ariade/archive/scripts/gen_charter.py,27,prompt_user,Prompt user for a single question and re...
/Users/hiraku/projects/vpm-ariade/archive/scripts/generate_capability_patches.py,14,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kaiの能力拡張を支援するAIエンジニア...
/Users/hiraku/projects/vpm-ariade/archive/scripts/gpt_generate_capability.py,9,SYSTEM_PROMPT,あなたはPython開発に精通したアシスタントです。 以下の機能IDが示す Ka...
/Users/hiraku/projects/vpm-ariade/archive/scripts/kai_autogen_one.py,15,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kai の機能拡張エンジニアです。  以...
/Users/hiraku/projects/vpm-ariade/archive/scripts/priority_proposer.py,12,SYSTEM_PROMPT, あなたはプロジェクトマネージャーAI Kaiです。 以下の機能ID一覧は、現在...
/Users/hiraku/projects/vpm-ariade/archive/tests/test_prompt_integration.py,18,test_prompt_with_dynamic_info,動的情報を含むプロンプト生成テスト
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,189,AIProjectManager._get_ai_pm_system_prompt,AI Project Managerのシステムプロンプト
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,318,AIProjectManager._build_unified_prompt,統一判断用のプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,168,ConversationAnalyzer._build_extraction_prompt,情報抽出用システムプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/conversation_engine.py,61,PhaseAwareConversationEngine.get_system_prompt,フェーズ特化型システムプロンプトを生成
/Users/hiraku/projects/vpm-ariade/core/minutes_utils.py,8,PROMPT_TMPL,You are Kai's Minutes Assistant. Output ...
/Users/hiraku/projects/vpm-ariade/core/project_analyzer.py,98,ProjectContentAnalyzer._build_analysis_prompt,分析用システムプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/project_prompt.py,20,get_project_prompt,     Generate project-specific context p...
/Users/hiraku/projects/vpm-ariade/core/project_prompt.py,257,get_system_prompt,Get system prompt with caching for perfo...
/Users/hiraku/projects/vpm-ariade/core/project_prompt.py,297,get_full_system_prompt,Get full system prompt including project...
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,23,PromptBuilder,安全なJSON出力とトークン管理を行うプロンプトビルダー
